id;match_name;match_date;team1_id;team1_score;team2_id;team2_score
6172;PSV - Hapoel Tel Aviv;2011-11-03 19:00;168;3;130;\N
6180;Austria Vienna - AZ;2011-11-03 21:05;401;2;156;\N
6187;Twente Enschede FC - OB;2011-11-03 20:05;161;3;224;\N
6193;Malmo - AZ;2011-11-30 19:00;465;\N;156;\N
6202;Legia Warsaw - PSV;2011-11-30 21:05;669;\N;168;\N
6206;Twente Enschede FC - Fulham;2011-12-01 18:00;161;1;84;\N
6224;Wisla Krakow - Twente Enschede FC;2011-12-14 20:05;735;2;161;\N
6232;PSV - FC Rapid Bucuresti;2011-12-15 18:00;168;2;181;\N
6233;AZ - Metalist;2011-12-15 20:05;156;1;106;\N
12599;Eindhoven - Vitesse;2011-12-22 20:45;1163;1;171;\N
13449;Twente Enschede FC - PSV;2011-12-21 21:00;161;1;168;\N
13469;Ajax - AZ;2012-01-19 16:30;157;2;156;\N
22499;Eindhoven - Emmen;2011-08-05 18:00;1163;3;1910;\N
22500;TOP Oss - Helmond Sport;2011-08-05 18:00;1913;3;1908;\N
22501;Veendam - Willem II;2011-08-05 18:00;1915;1;172;\N
22502;Den Bosch - Zwolle;2011-08-05 18:00;1907;2;1905;\N
22503;Go Ahead Eagles - Telstar;2011-08-05 18:00;1911;1;1914;\N
22504;MVV - Almere City;2011-08-05 18:00;1918;3;2817;\N
22505;Dordrecht - Volendam;2011-08-05 18:00;1917;\N;1906;\N
22506;Sparta Rotterdam - Fortuna Sittard;2011-08-07 12:30;1909;1;1919;\N
22507;AGOVV - Cambuur;2011-08-08 18:00;1912;2;1916;\N
22508;Emmen - Dordrecht;2011-08-12 18:00;1910;1;1917;\N
22509;Almere City - Veendam;2011-08-12 18:00;2817;3;1915;\N
22510;Volendam - MVV;2011-08-12 17:00;1906;2;1918;\N
22511;Fortuna Sittard - AGOVV;2011-08-12 18:00;1919;5;1912;\N
22512;Cambuur - Eindhoven;2011-08-12 18:00;1916;\N;1163;\N
22513;Helmond Sport - Sparta Rotterdam;2011-08-12 18:00;1908;3;1909;\N
22514;Zwolle - TOP Oss;2011-08-12 18:00;1905;2;1913;\N
